name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;903;0;951;3163;1626;3163;1316;0
header;215;203;215;238;1139;238;1139;203
A;1014;265;1014;288;1036;288;1036;265
B;1330;301;1330;317;1351;317;1351;301
A;1353;482;1353;508;1366;508;1366;482
B;1240;531;1240;547;1262;547;1262;531
B;1028;926;1028;953;1048;953;1048;926
A;1456;1440;1456;1442;1457;1442;1457;1440
C;1042;1592;1042;1620;1062;1620;1062;1592
B;1241;2082;1241;2098;1265;2098;1265;2082
A;1450;2172;1450;2197;1464;2197;1464;2172
D;1048;2259;1048;2289;1074;2289;1074;2259
A;1362;2317;1362;2323;1368;2323;1368;2317
B;1034;2505;1034;2521;1056;2521;1056;2505
