name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;378;0;543;3157;1102;3157;1102;0
header;264;173;264;211;1886;211;1886;173
A;1074;229;1074;258;1095;258;1095;229
A;1088;278;1088;278;1088;278;1088;278
B;1072;913;1072;940;1092;940;1092;913
B;479;1163;479;1183;494;1183;494;1163
B;593;1393;593;1412;606;1412;606;1393
C;1065;1586;1065;1614;1088;1614;1088;1586
A;647;1680;647;1691;654;1691;654;1680
A;1066;2120;1066;2121;1068;2121;1068;2120
D;1057;2235;1057;2266;1084;2266;1084;2235
B;892;2783;892;2801;907;2801;907;2783
